AT1G04307	AT1G04307
AT1G04310	ERS2
AT1G04313	AT1G04313
AT1G04317	AT1G04317
AT1G04320	AT1G04320
AT1G04323	AT1G04323
AT1G04327	AT1G04327
AT1G04330	PH2
AT1G04333	AT1G04333
AT1G04337	AT1G04337
AT1G04340	AT1G04340
AT1G04343	AT1G04343
AT1G04347	AT1G04347
AT1G04350	AT1G04350
AT1G04353	AT1G04353
AT1G04357	AT1G04357
AT1G04360	ATL1
AT1G04363	AT1G04363
AT1G04367	AT1G04367
AT1G04370	ERF97
AT1G04373	AT1G04373
AT1G04377	AT1G04377
AT1G04380	AT1G04380
AT1G04383	AT1G04383
AT1G04387	AT1G04387
AT1G04390	AT1G04390
AT1G04393	ath-MIR5640
AT1G04397	AT1G04397
AT1G04400	PHH1
AT1G04403	AT1G04403
AT1G04407	AT1G04407
AT1G04410	c-NAD-MDH1
AT1G04413	AT1G04413
AT1G04417	AT1G04417
AT1G04420	AT1G04420
AT1G04423	ath-MIR5656
AT1G04425	AT1G04425
AT1G04427	AT1G04427
AT1G04430	AT1G04430
AT1G04433	AT1G04433
AT1G04437	AT1G04437
AT1G04440	CKL13
AT1G04443	AT1G04443
AT1G04445	AT1G04445
AT1G04447	AT1G04447
AT1G04450	RIC3
AT1G04453	AT1G04453
AT1G04455	AT1G04455
AT1G04457	AT1G04457
AT1G04463	AT1G04463
AT1G04467	AT1G04467
AT1G04470	AT1G04470
AT1G04473	AT1G04473
AT1G04477	AT1G04477
AT1G04480	AT1G04480
AT1G04483	AT1G04483
AT1G04487	AT1G04487
AT1G04490	AT1G04490
AT1G04493	AT1G04493
AT1G04497	AT1G04497
AT1G04500	AT1G04500
AT1G04503	AT1G04503
AT1G04507	AT1G04507
AT1G04510	MAC3A
AT1G04513	AT1G04513
AT1G04517	AT1G04517
AT1G04520	PDLP2
AT1G04523	AT1G04523
AT1G04527	AT1G04527
AT1G04530	TPR4
AT1G04533	AT1G04533
AT1G04537	AT1G04537
AT1G04540	AT1G04540
AT1G04543	AT1G04543
AT1G04547	AT1G04547
AT1G04550	IAA12
AT1G04555	AT1G04555
AT1G04557	AT1G04557
AT1G04560	AT1G04560
AT1G04563	AT1G04563
AT1G04567	AT1G04567
AT1G04570	AT1G04570
AT1G04573	AT1G04573
AT1G04577	AT1G04577
AT1G04580	ATAO2
AT1G04583	AT1G04583
AT1G04587	AT1G04587
AT1G04590	AT1G04590
AT1G04593	AT1G04593
AT1G04597	AT1G04597
AT1G04600	XIA
AT1G04603	AT1G04603
AT1G04607	AT1G04607
AT1G04610	YUC3
AT1G04613	AT1G04613
AT1G04620	HCAR
AT1G04623	AT1G04623
AT1G04625	AT1G04625
AT1G04630	MEE4
AT1G04635	POP5
AT1G04640	LIP2
AT1G04643	AT1G04643
AT1G04645	AT1G04645
AT1G04647	AT1G04647
AT1G04650	FLIP
AT1G04653	AT1G04653
AT1G04657	AT1G04657
AT1G04660	AT1G04660
AT1G04667	AT1G04667
AT1G04670	AT1G04670
AT1G04673	AT1G04673
AT1G04677	AT1G04677
AT1G04680	AT1G04680
AT1G04683	AT1G04683
AT1G04687	AT1G04687
AT1G04690	KV-BETA1
AT1G04693	AT1G04693
AT1G04697	AT1G04697
AT1G04700	AT1G04700
AT1G04703	AT1G04703
AT1G04707	AT1G04707
AT1G04710	PKT4
AT1G04713	AT1G04713
AT1G04717	AT1G04717
AT1G04720	AT1G04720
AT1G04723	AT1G04723
AT1G04730	CTF18
AT1G04733	U2-11
AT1G04737	AT1G04737
AT1G04743	AT1G04743
AT1G04747	AT1G04747
AT1G04750	VAMP7B
AT1G04753	AT1G04753
AT1G04760	VAMP726
AT1G04763	AT1G04763
AT1G04767	AT1G04767
AT1G04770	SDI2
AT1G04773	AT1G04773
AT1G04778	AT1G04778
AT1G04780	AT1G04780
AT1G04783	AT1G04783
AT1G04787	AT1G04787
AT1G04790	AT1G04790
AT1G04793	AT1G04793
AT1G04797	AT1G04797
AT1G04800	AT1G04800
AT1G04803	AT1G04803
AT1G04807	AT1G04807
AT1G04810	AT1G04810
AT1G04813	AT1G04813
AT1G04817	AT1G04817
AT1G04820	TUA4
AT1G04823	AT1G04823
AT1G04827	AT1G04827
AT1G04830	AT1G04830
AT1G04833	AT1G04833
AT1G04837	AT1G04837
AT1G04840	AT1G04840
AT1G04847	AT1G04847
AT1G04850	AT1G04850
AT1G04853	AT1G04853
AT1G04857	AT1G04857
AT1G04860	UBP2
AT1G04863	AT1G04863
AT1G04867	AT1G04867
AT1G04870	PRMT10
AT1G04873	AT1G04873
AT1G04877	AT1G04877
AT1G04880	HMGBD15
AT1G04883	AT1G04883
AT1G04887	AT1G04887
AT1G04890	AT1G04890
AT1G04893	AT1G04893
AT1G04895	AT1G04895
AT1G04897	U4-6
AT1G04900	AT1G04900
AT1G04903	AT1G04903
AT1G04907	U1-10
AT1G04910	AT1G04910
AT1G04913	AT1G04913
AT1G04917	AT1G04917
AT1G04920	SPS3F
AT1G04923	AT1G04923
AT1G04927	AT1G04927
AT1G04930	AT1G04930
AT1G04933	AT1G04933
AT1G04937	AT1G04937
AT1G04940	Tic20-I
AT1G04943	AT1G04943
AT1G04945	AT1G04945
AT1G04947	AT1G04947
AT1G04950	TAFII59
AT1G04953	AT1G04953
AT1G04957	AT1G04957
AT1G04960	AT1G04960
AT1G04963	AT1G04963
AT1G04967	AT1G04967
AT1G04970	LBR-1
AT1G04973	AT1G04973
AT1G04977	AT1G04977
AT1G04980	PDIL2-2
AT1G04983	AT1G04983
AT1G04985	AT1G04985
AT1G04987	AT1G04987
AT1G04990	AT1G04990
AT1G04993	ath-MIR8166
AT1G04997	AT1G04997
AT1G05000	PFA-DSP1
AT1G05003	AT1G05003
